# BOBMOE0 stage=1 arm=moe deterministic metrics log
# arm_seed=28271 perm_seed=28371 param_total=17118720
step	lr	ce	aux	loss	gradnorm
46	1.38000000000000015e-03	2.77605915069580078e+00	1.12138080596923828e+00	2.78727293014526367e+00	5.36714971065521240e-01
47	1.41000000000000023e-03	2.66278934478759766e+00	1.12650609016418457e+00	2.67405438423156738e+00	5.07778346538543701e-01
48	1.44000000000000009e-03	2.62780880928039551e+00	1.15113782882690430e+00	2.63932013511657715e+00	7.70599842071533203e-01
49	1.46999999999999995e-03	2.71548914909362793e+00	1.13318669795989990e+00	2.72682094573974609e+00	7.18275487422943115e-01
50	1.50000000000000003e-03	2.64081096649169922e+00	1.14506375789642334e+00	2.65226149559020996e+00	5.33250331878662109e-01
51	1.52999999999999989e-03	2.78974795341491699e+00	1.09939491748809814e+00	2.80074191093444824e+00	9.84681546688079834e-01
52	1.55999999999999997e-03	2.67183279991149902e+00	1.12926805019378662e+00	2.68312549591064453e+00	2.07632541656494141e+00
53	1.59000000000000005e-03	2.62624526023864746e+00	1.13363206386566162e+00	2.63758158683776855e+00	8.29329371452331543e-01
54	1.62000000000000013e-03	2.69797492027282715e+00	1.15010333061218262e+00	2.70947599411010742e+00	1.18042433261871338e+00
55	1.64999999999999999e-03	2.53784298896789551e+00	1.15175259113311768e+00	2.54936051368713379e+00	5.89264869689941406e-01
56	1.68000000000000007e-03	2.57540059089660645e+00	1.09852564334869385e+00	2.58638596534729004e+00	1.05129063129425049e+00
57	1.71000000000000015e-03	2.55351567268371582e+00	1.10902321338653564e+00	2.56460595130920410e+00	7.62936055660247803e-01
58	1.74000000000000023e-03	2.62115597724914551e+00	1.12917959690093994e+00	2.63244771957397461e+00	1.08180129528045654e+00
59	1.76999999999999987e-03	2.52686333656311035e+00	1.11915612220764160e+00	2.53805494308471680e+00	7.74022400379180908e-01
60	1.79999999999999995e-03	2.58474731445312500e+00	1.09725916385650635e+00	2.59571981430053711e+00	7.96190500259399414e-01
61	1.83000000000000003e-03	2.61073303222656250e+00	1.11353218555450439e+00	2.62186837196350098e+00	8.25870096683502197e-01
62	1.85999999999999989e-03	2.60200095176696777e+00	1.15382087230682373e+00	2.61353921890258789e+00	1.09582960605621338e+00
63	1.88999999999999997e-03	2.62887787818908691e+00	1.14299750328063965e+00	2.64030790328979492e+00	1.01502716541290283e+00
64	1.92000000000000005e-03	2.46818971633911133e+00	1.14732718467712402e+00	2.47966289520263672e+00	1.50217139720916748e+00
65	1.95000000000000013e-03	2.50225806236267090e+00	1.19098246097564697e+00	2.51416778564453125e+00	7.54626154899597168e-01
66	1.97999999999999999e-03	2.50451469421386719e+00	1.20088505744934082e+00	2.51652359962463379e+00	7.70480334758758545e-01
67	2.01000000000000007e-03	2.45648789405822754e+00	1.20364773273468018e+00	2.46852445602416992e+00	6.96477532386779785e-01
68	2.04000000000000015e-03	2.46904706954956055e+00	1.16019749641418457e+00	2.48064899444580078e+00	7.64209866523742676e-01
69	2.07000000000000023e-03	2.45912504196166992e+00	1.18721175193786621e+00	2.47099709510803223e+00	7.81647205352783203e-01
70	2.09999999999999987e-03	2.42485117912292480e+00	1.17304158210754395e+00	2.43658161163330078e+00	5.80963969230651855e-01
71	2.12999999999999995e-03	2.45792531967163086e+00	1.17585587501525879e+00	2.46968388557434082e+00	9.06828641891479492e-01
72	2.16000000000000003e-03	2.35894322395324707e+00	1.16482353210449219e+00	2.37059140205383301e+00	9.20893728733062744e-01
73	2.19000000000000011e-03	2.40199828147888184e+00	1.17427635192871094e+00	2.41374111175537109e+00	6.94009959697723389e-01
74	2.22000000000000018e-03	2.50048303604125977e+00	1.17554986476898193e+00	2.51223850250244141e+00	6.76230251789093018e-01
75	2.25000000000000026e-03	2.47575497627258301e+00	1.14347910881042480e+00	2.48718976974487305e+00	9.60241138935089111e-01
76	2.27999999999999991e-03	2.43750119209289551e+00	1.17105913162231445e+00	2.44921183586120605e+00	6.41351103782653809e-01
77	2.30999999999999999e-03	2.45410442352294922e+00	1.20268607139587402e+00	2.46613121032714844e+00	8.22685182094573975e-01
78	2.34000000000000007e-03	2.36353182792663574e+00	1.19837069511413574e+00	2.37551546096801758e+00	9.47017014026641846e-01
79	2.37000000000000014e-03	2.46367740631103516e+00	1.20015406608581543e+00	2.47567892074584961e+00	1.90536558628082275e+00
80	2.39999999999999979e-03	2.36492395401000977e+00	1.18482804298400879e+00	2.37677216529846191e+00	8.66600453853607178e-01
81	2.42999999999999987e-03	2.42932033538818359e+00	1.17131471633911133e+00	2.44103336334228516e+00	1.16366493701934814e+00
82	2.45999999999999995e-03	2.35243988037109375e+00	1.16614484786987305e+00	2.36410140991210938e+00	7.24451482295989990e-01
83	2.49000000000000003e-03	2.42863512039184570e+00	1.15008282661437988e+00	2.44013595581054688e+00	1.02725386619567871e+00
84	2.52000000000000010e-03	2.34078526496887207e+00	1.15499711036682129e+00	2.35233521461486816e+00	8.52835059165954590e-01
85	2.55000000000000018e-03	2.43195223808288574e+00	1.17333531379699707e+00	2.44368553161621094e+00	1.30646729469299316e+00
86	2.58000000000000026e-03	2.37990260124206543e+00	1.13663148880004883e+00	2.39126896858215332e+00	7.32145190238952637e-01
87	2.60999999999999991e-03	2.31941032409667969e+00	1.12099182605743408e+00	2.33062028884887695e+00	9.25480604171752930e-01
88	2.63999999999999999e-03	2.36926794052124023e+00	1.13362443447113037e+00	2.38060426712036133e+00	1.06923210620880127e+00
89	2.67000000000000006e-03	2.39070367813110352e+00	1.13526248931884766e+00	2.40205621719360352e+00	1.03627038002014160e+00
90	2.70000000000000014e-03	2.32683491706848145e+00	1.12449419498443604e+00	2.33807992935180664e+00	8.67579340934753418e-01
91	2.73000000000000022e-03	2.31532216072082520e+00	1.14707970619201660e+00	2.32679295539855957e+00	1.19850599765777588e+00
92	2.76000000000000030e-03	2.31120777130126953e+00	1.12820601463317871e+00	2.32248973846435547e+00	9.14829969406127930e-01
93	2.79000000000000038e-03	2.14761304855346680e+00	1.12699472904205322e+00	2.15888309478759766e+00	8.97385239601135254e-01
94	2.82000000000000046e-03	2.26774954795837402e+00	1.13599240779876709e+00	2.27910947799682617e+00	9.16934013366699219e-01
95	2.85000000000000010e-03	2.32956480979919434e+00	1.13721692562103271e+00	2.34093689918518066e+00	7.41553127765655518e-01
96	2.88000000000000018e-03	2.26429557800292969e+00	1.14454293251037598e+00	2.27574110031127930e+00	8.74439835548400879e-01
97	2.90999999999999983e-03	2.25179815292358398e+00	1.15420508384704590e+00	2.26334023475646973e+00	9.78992521762847900e-01
98	2.93999999999999991e-03	2.24657917022705078e+00	1.12714886665344238e+00	2.25785064697265625e+00	7.86422908306121826e-01
99	2.96999999999999998e-03	2.24519133567810059e+00	1.12847721576690674e+00	2.25647616386413574e+00	7.55445241928100586e-01
100	3.00000000000000006e-03	2.25004363059997559e+00	1.13719904422760010e+00	2.26141571998596191e+00	8.59674274921417236e-01
101	2.99995836282046600e-03	2.32279539108276367e+00	1.13320982456207275e+00	2.33412742614746094e+00	7.44446992874145508e-01
102	2.99983345385024160e-03	2.18141126632690430e+00	1.17980504035949707e+00	2.19320940971374512e+00	8.48601162433624268e-01
103	2.99962528079430069e-03	2.21827912330627441e+00	1.16726577281951904e+00	2.22995185852050781e+00	7.39177048206329346e-01
104	2.99933385649373777e-03	2.21708631515502930e+00	1.14794230461120605e+00	2.22856569290161133e+00	7.13537156581878662e-01
105	2.99895919892497614e-03	2.22345519065856934e+00	1.19183528423309326e+00	2.23537349700927734e+00	6.54850959777832031e-01
106	2.99850133119865985e-03	2.21607923507690430e+00	1.20047402381896973e+00	2.22808408737182617e+00	7.61978745460510254e-01
107	2.99796028155822642e-03	2.16705155372619629e+00	1.16540539264678955e+00	2.17870569229125977e+00	6.57081723213195801e-01
108	2.99733608337816697e-03	2.18518066406250000e+00	1.14526033401489258e+00	2.19663333892822266e+00	5.97328543663024902e-01
109	2.99662877516196444e-03	2.08697199821472168e+00	1.13139319419860840e+00	2.09828591346740723e+00	8.13262462615966797e-01
110	2.99583840053972272e-03	2.28683376312255859e+00	1.13025724887847900e+00	2.29813623428344727e+00	8.55408191680908203e-01
111	2.99496500826547081e-03	2.15525865554809570e+00	1.16919410228729248e+00	2.16695070266723633e+00	6.64067745208740234e-01
112	2.99400865221415837e-03	2.23077797889709473e+00	1.19232189655303955e+00	2.24270129203796387e+00	7.92448639869689941e-01
113	2.99296939137833106e-03	2.11166071891784668e+00	1.13890242576599121e+00	2.12304973602294922e+00	7.08471775054931641e-01
114	2.99184728986449282e-03	2.19076347351074219e+00	1.13435459136962891e+00	2.20210695266723633e+00	7.31031239032745361e-01
115	2.99064241688915076e-03	2.23783135414123535e+00	1.13969802856445312e+00	2.24922823905944824e+00	9.98867571353912354e-01
116	2.98935484677454507e-03	2.17027139663696289e+00	1.15255224704742432e+00	2.18179702758789062e+00	8.37710976600646973e-01
117	2.98798465894406593e-03	2.25874376296997070e+00	1.16315507888793945e+00	2.27037525177001953e+00	8.03805351257324219e-01
118	2.98653193791735246e-03	2.10095858573913574e+00	1.16438269615173340e+00	2.11260247230529785e+00	9.83743906021118164e-01
119	2.98499677330508160e-03	2.11994647979736328e+00	1.15515148639678955e+00	2.13149809837341309e+00	8.62503826618194580e-01
120	2.98337925980343612e-03	2.18394541740417480e+00	1.18014419078826904e+00	2.19574689865112305e+00	1.39475715160369873e+00
121	2.98167949718826895e-03	2.27520442008972168e+00	1.17924404144287109e+00	2.28699684143066406e+00	1.03994739055633545e+00
122	2.97989759030894497e-03	2.10436701774597168e+00	1.15558993816375732e+00	2.11592292785644531e+00	7.62534260749816895e-01
123	2.97803364908187347e-03	2.20974874496459961e+00	1.15557515621185303e+00	2.22130441665649414e+00	7.76284933090209961e-01
124	2.97608778848372979e-03	2.21505808830261230e+00	1.14066648483276367e+00	2.22646474838256836e+00	1.23890352249145508e+00
125	2.97406012854436108e-03	2.11652255058288574e+00	1.17330718040466309e+00	2.12825560569763184e+00	7.77306199073791504e-01
126	2.97195079433938388e-03	2.11393404006958008e+00	1.18243658542633057e+00	2.12575840950012207e+00	6.26940190792083740e-01
