# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=1 ckpt_step=500
# ckpt_sha256=e3547ef1ede090affd87b6e606aadd0a664f99376911567abead540b663c2374
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=256 windows=19531 positions=4999936
# moe_layers=5 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
scope,layer,n_positions,slots,pair_total,P_half,C_3,H,dead_count
layer,0,4999936,9999872,4999936,6.39660887659362021e-01,2.95324980159746064e-01,9.70620176992492034e-01,0.00000000000000000e+00
layer,1,4999936,9999872,4999936,5.83671971001228806e-01,2.62219556410322074e-01,9.91289834195423269e-01,0.00000000000000000e+00
layer,2,4999936,9999872,4999936,5.41875336004300823e-01,2.29158533229225331e-01,9.97566168262757458e-01,0.00000000000000000e+00
layer,3,4999936,9999872,4999936,5.61978693327274570e-01,2.91905736393425819e-01,9.93730569253167717e-01,0.00000000000000000e+00
layer,4,4999936,9999872,4999936,6.61118062311197630e-01,3.47314445624903989e-01,9.59133006749879224e-01,0.00000000000000000e+00
mean,-1,4999936,9999872,4999936,5.97660990060672748e-01,2.85184650363524639e-01,9.82467951090743918e-01,0.00000000000000000e+00
