# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=9e7f5cf87d4b934d64d3d4c629bc577ffcf30ca7c1f79595bb9b7618352d9511
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
6,0,4,113322,2.26658506144393236e-02
6,0,5,234321,4.68671995007680503e-02
6,0,6,132432,2.64880952380952377e-02
6,0,7,157113,3.14246111751152052e-02
6,1,2,213415,4.26857318868407581e-02
6,1,3,229754,4.59537410394265239e-02
6,1,4,258199,5.16431051587301557e-02
6,1,5,128000,2.56016385048643130e-02
6,1,6,200894,4.01813716077829008e-02
6,1,7,145806,2.91630664362519214e-02
6,2,3,202240,4.04505888376856110e-02
6,2,4,190741,3.81506416410650265e-02
6,2,5,217872,4.35771889400921666e-02
6,2,6,195165,3.90354982718894017e-02
6,2,7,172203,3.44428043394777242e-02
6,3,4,96133,1.92278305811571931e-02
6,3,5,112380,2.24774385560675867e-02
6,3,6,140526,2.81069988479262685e-02
6,3,7,134658,2.69333237327188946e-02
6,4,5,183143,3.66309443804403514e-02
6,4,6,167540,3.35101446492575492e-02
6,4,7,132317,2.64650937660010251e-02
6,5,6,174513,3.49048339093702004e-02
6,5,7,224841,4.49710781490015379e-02
6,6,7,153043,3.06105590757808493e-02
7,0,1,236393,4.72816260240655414e-02
7,0,2,145954,2.91926683307731707e-02
7,0,3,211986,4.23999135944700470e-02
7,0,4,68496,1.37000768049155147e-02
7,0,5,73007,1.46023345494111622e-02
7,0,6,104016,2.08045314900153593e-02
7,0,7,168413,3.36847558243727613e-02
7,1,2,121471,2.42957549283154134e-02
7,1,3,139546,2.79109863031234001e-02
7,1,4,211274,4.22575044802867353e-02
7,1,5,117901,2.35817092293906794e-02
7,1,6,178306,3.56634824628776215e-02
7,1,7,168684,3.37389592933947796e-02
7,2,3,201904,4.03833845366103408e-02
7,2,4,304170,6.08378936251920133e-02
7,2,5,234011,4.68051955325140823e-02
7,2,6,109163,2.18339973758320538e-02
7,2,7,203852,4.07730094726062448e-02
7,3,4,114340,2.28694636456733234e-02
7,3,5,186113,3.72249823988735282e-02
7,3,6,137879,2.75775649641577074e-02
7,3,7,222070,4.44168426779313896e-02
7,4,5,394922,7.89894553251408033e-02
