arm,step,scope,class,n_trits,c_neg,c_zero,c_pos,p_neg,p_zero,p_pos,bits_per_trit
moe,8000,class,attn.wv,3145728,1050822,1044095,1050811,0.334047318,0.331908862,0.334043821,1.584956
moe,8000,class,ffn.down,50331648,16926674,16471995,16932979,0.336302797,0.327269137,0.336428066,1.584843
moe,8000,class,ffn.gate,50331648,16715323,16706031,16910294,0.332103630,0.331919014,0.335977356,1.584940
moe,8000,class,ffn.up,50331648,16841753,16649608,16840287,0.334615568,0.330797990,0.334586442,1.584942
moe,8000,pooled,ALL,163577856,54616156,54144821,54816879,0.333884777,0.331003366,0.335111856,1.584943
moe,9000,class,attn.wk,3145728,1018462,1109157,1018109,0.323760351,0.352591515,0.323648135,1.583770
moe,9000,class,attn.wo,3145728,1042873,1059403,1043452,0.331520398,0.336775144,0.331704458,1.584924
moe,9000,class,attn.wq,3145728,1017109,1112003,1016616,0.323330243,0.353496234,0.323173523,1.583656
moe,9000,class,attn.wv,3145728,1050668,1043991,1051069,0.333998362,0.331875801,0.334125837,1.584956
moe,9000,class,ffn.down,50331648,16908850,16509207,16913591,0.335948666,0.328008473,0.336042861,1.584870
moe,9000,class,ffn.gate,50331648,16684790,16762564,16884294,0.331496994,0.333042224,0.335460782,1.584945
moe,9000,class,ffn.up,50331648,16820913,16694029,16816706,0.334201515,0.331680556,0.334117929,1.584954
moe,9000,pooled,ALL,163577856,54543665,54290354,54743837,0.333441618,0.331893053,0.334665329,1.584954
moe,10000,class,attn.wk,3145728,1017759,1110242,1017727,0.323536873,0.352936427,0.323526700,1.583727
moe,10000,class,attn.wo,3145728,1042951,1060214,1042563,0.331545194,0.337032954,0.331421852,1.584918
moe,10000,class,attn.wq,3145728,1015893,1115143,1014692,0.322943687,0.354494413,0.322561900,1.583523
moe,10000,class,attn.wv,3145728,1050608,1044315,1050805,0.333979289,0.331978798,0.334041913,1.584957
moe,10000,class,ffn.down,50331648,16896945,16537142,16897561,0.335712135,0.328563492,0.335724374,1.584888
moe,10000,class,ffn.gate,50331648,16664930,16803260,16863458,0.331102411,0.333850781,0.335046808,1.584945
moe,10000,class,ffn.up,50331648,16806520,16720515,16804613,0.333915552,0.332206786,0.333877663,1.584958
moe,10000,pooled,ALL,163577856,54495606,54390831,54691419,0.333147819,0.332507299,0.334344882,1.584959
moe,11000,class,attn.wk,3145728,1017071,1111467,1017190,0.323318164,0.353325844,0.323355993,1.583677
