# BOBMOE0 G2 ROUTE STATS, prereg s.2 G2 definitions, frozen
# arm=moe stage=2 ckpt_step=500
# ckpt_sha256=936462e5dc415cd29dc8eeaa41a7a9a6249f0e10b05b7e06422ceb485784bf73
# corpus_sha256=2b49720ec4d78c3c9fabaee6e4179a5e997302b3a70029f30f2d582218c024a8
# corpus_bytes=100000000 train_end=90000000 val_end=95000000
# split=val split_start=90000000 split_end=95000000 ctx=512 windows=9765 positions=4999680
# moe_layers=12 E=8 k=2 eval_batch=32
# all floats are %.17e; dead_count is emitted as a float in every row
layer,e,f,count,share
4,5,7,231562,4.63153641833077348e-02
4,6,7,138067,2.76151673707117247e-02
5,0,1,170383,3.40787810419866874e-02
5,0,2,197042,3.94109222990271374e-02
5,0,3,119095,2.38205245135688672e-02
5,0,4,181746,3.63515264976958519e-02
5,0,5,306059,6.12157178059395818e-02
5,0,6,125745,2.51506096390168958e-02
5,0,7,300514,6.01066468253968270e-02
5,1,2,193422,3.86868759600614426e-02
5,1,3,137105,2.74227550563236055e-02
5,1,4,234843,4.69716061827957013e-02
5,1,5,208969,4.17964749743983607e-02
5,1,6,112156,2.24326356886840744e-02
5,1,7,230979,4.61987567204301050e-02
5,2,3,150381,3.00781250000000007e-02
5,2,4,302024,6.04086661546338957e-02
5,2,5,166554,3.33129320276497679e-02
5,2,6,88485,1.76981326804915504e-02
5,2,7,176559,3.53140600998463894e-02
5,3,4,262522,5.25077604966717876e-02
5,3,5,129437,2.58890568996415771e-02
5,3,6,135497,2.71011344726062482e-02
5,3,7,131601,2.63218846006144404e-02
5,4,5,132535,2.65086965565796209e-02
5,4,6,84629,1.69268833205325139e-02
5,4,7,83927,1.67864743343573986e-02
5,5,6,196044,3.92113095238095233e-02
5,5,7,282481,5.64998159882232481e-02
5,6,7,158946,3.17912346390168965e-02
6,0,1,358323,7.16691868279569905e-02
6,0,2,78992,1.57994111623143869e-02
6,0,3,158225,3.16470254096262171e-02
6,0,4,125570,2.51156073988735296e-02
6,0,5,265218,5.30469950076804947e-02
6,0,6,167587,3.35195452508960587e-02
6,0,7,83000,1.66010624679979527e-02
6,1,2,204244,4.08514144905273921e-02
6,1,3,252789,5.05610359062980061e-02
6,1,4,212606,4.25239215309779831e-02
6,1,5,133694,2.67405113927291355e-02
6,1,6,260915,5.21863399257552485e-02
6,1,7,134702,2.69421242959549424e-02
6,2,3,206205,4.12436395929339505e-02
6,2,4,202703,4.05431947644649265e-02
6,2,5,233105,4.66239839349718369e-02
6,2,6,199680,3.99385560675883239e-02
6,2,7,115461,2.30936779953917065e-02
6,3,4,105558,2.11129512288786465e-02
6,3,5,111070,2.22154217869943681e-02
6,3,6,207695,4.15416586661546336e-02
6,3,7,102208,2.04429083461341518e-02
6,4,5,188887,3.77798179083461347e-02
6,4,6,181849,3.63721278161802386e-02
6,4,7,108690,2.17393913210445454e-02
6,5,6,258712,5.17457117255504320e-02
6,5,7,181904,3.63831285202252941e-02
6,6,7,160088,3.20196492575524835e-02
7,0,1,181668,3.63359254992319525e-02
7,0,2,156079,3.12177979390680996e-02
7,0,3,217827,4.35681883640553005e-02
7,0,4,111511,2.23036274321556580e-02
7,0,5,78138,1.56286002304147457e-02
7,0,6,120906,2.41827476958525363e-02
7,0,7,146713,2.93444780465949816e-02
7,1,2,83756,1.67522721454173053e-02
7,1,3,183296,3.66615463389656920e-02
7,1,4,184734,3.69491647465437778e-02
7,1,5,95027,1.90066164234511011e-02
7,1,6,182312,3.64647337429595472e-02
7,1,7,168808,3.37637608806963668e-02
7,2,3,237631,4.75292418714797771e-02
7,2,4,298822,5.97682251664106504e-02
7,2,5,207818,4.15662602406553991e-02
7,2,6,111503,2.23020273297491051e-02
7,2,7,199940,3.99905593958013311e-02
7,3,4,144543,2.89104502688172053e-02
7,3,5,161869,3.23758720558115706e-02
7,3,6,150262,3.00543234767025082e-02
7,3,7,225028,4.50084805427547335e-02
7,4,5,376525,7.53098198284690157e-02
7,4,6,251777,5.03586229518689227e-02
7,4,7,214186,4.28399417562723983e-02
7,5,6,145294,2.90606598822324633e-02
7,5,7,129587,2.59190588197644664e-02
7,6,7,234120,4.68269969278033785e-02
8,0,1,262782,5.25597638248847948e-02
8,0,2,126897,2.53810243855606757e-02
8,0,3,265987,5.32008048515104984e-02
8,0,4,79048,1.58106118791602676e-02
8,0,5,203507,4.07040050563236069e-02
8,0,6,216010,4.32047651049667150e-02
8,0,7,154601,3.09221790194572459e-02
8,1,2,94047,1.88106038786482327e-02
8,1,3,98267,1.96546578981054779e-02
8,1,4,146997,2.94012816820276510e-02
8,1,5,132548,2.65112967229902720e-02
8,1,6,280365,5.60765889016897057e-02
8,1,7,227836,4.55701164874551951e-02
8,2,3,133027,2.66071028545826933e-02
8,2,4,123847,2.47709853430619562e-02
8,2,5,88506,1.77023329493087543e-02
8,2,6,272906,5.45846934203789019e-02
8,2,7,153185,3.06389608934971823e-02
8,3,4,163033,3.26086869559651799e-02
8,3,5,234816,4.69662058371735774e-02
8,3,6,224121,4.48270689324116733e-02
8,3,7,179452,3.58926971326164884e-02
8,4,5,206917,4.13860487071172553e-02
8,4,6,242001,4.84032978110599046e-02
8,4,7,111144,2.22302227342549910e-02
8,5,6,169628,3.39277713773681530e-02
8,5,7,190259,3.80542354710701469e-02
8,6,7,217946,4.35919898873527931e-02
9,0,1,72852,1.45713325652841782e-02
9,0,2,223784,4.47596646185355884e-02
9,0,3,156323,3.12666010624680010e-02
9,0,4,191362,3.82748495903737843e-02
9,0,5,178703,3.57428875448028704e-02
9,0,6,213289,4.26605302739375344e-02
9,0,7,128859,2.57734495007680489e-02
9,1,2,60736,1.21479774705581158e-02
9,1,3,106977,2.13967693932411683e-02
9,1,4,97154,1.94320436507936511e-02
9,1,5,102319,2.04651097670250880e-02
9,1,6,371295,7.42637528801843305e-02
9,1,7,113394,2.26802515360983101e-02
9,2,3,71029,1.42067092293906815e-02
9,2,4,221841,4.43710397465437792e-02
9,2,5,171612,3.43245967741935484e-02
9,2,6,112305,2.24624375960061455e-02
9,2,7,169673,3.39367719534050191e-02
9,3,4,207361,4.14748543906810069e-02
9,3,5,175158,3.50338421658986168e-02
9,3,6,213747,4.27521361367127484e-02
9,3,7,265135,5.30303939452124937e-02
9,4,5,103263,2.06539218509984648e-02
9,4,6,148387,2.96792994751664090e-02
9,4,7,451207,9.02471758192524287e-02
9,5,6,176582,3.53186603942652333e-02
9,5,7,252914,5.05860375064004081e-02
9,6,7,242419,4.84869031618023541e-02
10,0,1,169993,3.40007760496671765e-02
10,0,2,311850,6.23739919354838676e-02
10,0,3,88277,1.76565300179211473e-02
10,0,4,139800,2.79617895545314910e-02
10,0,5,98228,1.96468573988735282e-02
10,0,6,353181,7.06407210061443941e-02
10,0,7,146919,2.93856806835637481e-02
10,1,2,149139,2.98297091013824886e-02
10,1,3,189752,3.79528289810547870e-02
10,1,4,124195,2.48405897977470556e-02
10,1,5,106416,2.12845622119815676e-02
10,1,6,157730,3.15480190732206831e-02
10,1,7,125684,2.51384088581669239e-02
10,2,3,197937,3.95899337557603717e-02
10,2,4,257892,5.15817012288786458e-02
10,2,5,101129,2.02270945340501801e-02
10,2,6,159530,3.19080421146953411e-02
10,2,7,254633,5.09298595110087016e-02
10,3,4,93518,1.87047971070148505e-02
10,3,5,78857,1.57724094342037886e-02
10,3,6,60864,1.21735791090629795e-02
10,3,7,134423,2.68863207245263712e-02
10,4,5,153194,3.06407610087045569e-02
10,4,6,449952,8.99961597542242725e-02
10,4,7,239809,4.79648697516641062e-02
10,5,6,241764,4.83558947772657483e-02
10,5,7,184707,3.69437644009216609e-02
10,6,7,230307,4.60643481182795717e-02
11,0,1,436584,8.73223886328725052e-02
11,0,2,281172,5.62379992319508443e-02
11,0,3,139690,2.79397881464413730e-02
11,0,4,495814,9.91691468253968200e-02
11,0,5,181850,3.63723278289810534e-02
11,0,6,256638,5.13308851766513044e-02
11,0,7,202855,4.05735967101894524e-02
11,1,2,53995,1.07996911802355350e-02
11,1,3,341302,6.82647689452124951e-02
11,1,4,57154,1.14315316180235542e-02
11,1,5,135388,2.70793330773169486e-02
11,1,6,158609,3.17238303251408116e-02
11,1,7,11854,2.37095174091141820e-03
11,2,3,30289,6.05818772401433680e-03
11,2,4,102065,2.04143065156170006e-02
11,2,5,470922,9.41904281874039878e-02
11,2,6,53080,1.06166794674859184e-02
11,2,7,46973,9.39520129288274469e-03
11,3,4,63841,1.27690172171018943e-02
11,3,5,65460,1.30928379416282645e-02
11,3,6,15069,3.01399289554531505e-03
11,3,7,165244,3.30509152585765492e-02
11,4,5,556192,1.11245519713261645e-01
11,4,6,82654,1.65318580389144897e-02
11,4,7,79318,1.58646153353814642e-02
11,5,6,414744,8.29541090629800359e-02
11,5,7,20669,4.13406458013312883e-03
11,6,7,80255,1.60520273297491030e-02
