# BOBMOE0 stage=1 arm=dense deterministic metrics log
# arm_seed=28272 perm_seed=28372 param_total=5312000
step	lr	ce	aux	loss	gradnorm
21	6.30000000000000026e-04	3.86344099044799805e+00	0.00000000000000000e+00	3.86344099044799805e+00	4.83639259338378906e+01
22	6.59999999999999996e-04	3.48476123809814453e+00	0.00000000000000000e+00	3.48476123809814453e+00	2.54435443878173828e+00
23	6.90000000000000075e-04	3.40566587448120117e+00	0.00000000000000000e+00	3.40566587448120117e+00	1.43683612346649170e+00
24	7.20000000000000045e-04	3.41520357131958008e+00	0.00000000000000000e+00	3.41520357131958008e+00	1.84068763256072998e+00
25	7.50000000000000016e-04	3.24690365791320801e+00	0.00000000000000000e+00	3.24690365791320801e+00	1.13024497032165527e+00
26	7.79999999999999986e-04	3.31409573554992676e+00	0.00000000000000000e+00	3.31409573554992676e+00	1.85453486442565918e+00
27	8.10000000000000065e-04	3.14509177207946777e+00	0.00000000000000000e+00	3.14509177207946777e+00	1.77385783195495605e+00
28	8.40000000000000035e-04	3.14950823783874512e+00	0.00000000000000000e+00	3.14950823783874512e+00	1.19745326042175293e+00
29	8.70000000000000114e-04	2.98654460906982422e+00	0.00000000000000000e+00	2.98654460906982422e+00	1.88890123367309570e+00
30	8.99999999999999975e-04	3.09340596199035645e+00	0.00000000000000000e+00	3.09340596199035645e+00	7.58866906166076660e-01
31	9.29999999999999946e-04	3.02909994125366211e+00	0.00000000000000000e+00	3.02909994125366211e+00	1.70330548286437988e+00
32	9.60000000000000024e-04	2.92098617553710938e+00	0.00000000000000000e+00	2.92098617553710938e+00	7.22840428352355957e-01
33	9.89999999999999995e-04	3.05790328979492188e+00	0.00000000000000000e+00	3.05790328979492188e+00	9.17121231555938721e-01
34	1.02000000000000007e-03	3.01014685630798340e+00	0.00000000000000000e+00	3.01014685630798340e+00	1.05141353607177734e+00
35	1.04999999999999994e-03	2.96636199951171875e+00	0.00000000000000000e+00	2.96636199951171875e+00	1.27808940410614014e+00
36	1.08000000000000001e-03	2.81316828727722168e+00	0.00000000000000000e+00	2.81316828727722168e+00	1.12462604045867920e+00
37	1.11000000000000009e-03	2.76083278656005859e+00	0.00000000000000000e+00	2.76083278656005859e+00	8.65389347076416016e-01
38	1.13999999999999995e-03	2.93446660041809082e+00	0.00000000000000000e+00	2.93446660041809082e+00	9.08748686313629150e-01
39	1.17000000000000003e-03	2.92741036415100098e+00	0.00000000000000000e+00	2.92741036415100098e+00	1.03028726577758789e+00
40	1.19999999999999989e-03	2.76133203506469727e+00	0.00000000000000000e+00	2.76133203506469727e+00	1.13531064987182617e+00
41	1.22999999999999997e-03	2.68857955932617188e+00	0.00000000000000000e+00	2.68857955932617188e+00	9.08320009708404541e-01
42	1.26000000000000005e-03	2.78697896003723145e+00	0.00000000000000000e+00	2.78697896003723145e+00	8.32948803901672363e-01
43	1.29000000000000013e-03	2.75214314460754395e+00	0.00000000000000000e+00	2.75214314460754395e+00	1.13745677471160889e+00
44	1.31999999999999999e-03	2.79436969757080078e+00	0.00000000000000000e+00	2.79436969757080078e+00	1.23818910121917725e+00
45	1.35000000000000007e-03	2.76518821716308594e+00	0.00000000000000000e+00	2.76518821716308594e+00	1.33434677124023438e+00
46	1.38000000000000015e-03	2.73133540153503418e+00	0.00000000000000000e+00	2.73133540153503418e+00	6.10053718090057373e-01
47	1.41000000000000023e-03	2.76162505149841309e+00	0.00000000000000000e+00	2.76162505149841309e+00	7.29946672916412354e-01
48	1.44000000000000009e-03	2.76111054420471191e+00	0.00000000000000000e+00	2.76111054420471191e+00	8.66092920303344727e-01
49	1.46999999999999995e-03	2.68674254417419434e+00	0.00000000000000000e+00	2.68674254417419434e+00	7.87913382053375244e-01
50	1.50000000000000003e-03	2.71813106536865234e+00	0.00000000000000000e+00	2.71813106536865234e+00	8.89832854270935059e-01
51	1.52999999999999989e-03	2.63903880119323730e+00	0.00000000000000000e+00	2.63903880119323730e+00	7.45945274829864502e-01
52	1.55999999999999997e-03	2.60886669158935547e+00	0.00000000000000000e+00	2.60886669158935547e+00	7.88483560085296631e-01
53	1.59000000000000005e-03	2.63690710067749023e+00	0.00000000000000000e+00	2.63690710067749023e+00	1.04026401042938232e+00
54	1.62000000000000013e-03	2.64061212539672852e+00	0.00000000000000000e+00	2.64061212539672852e+00	1.48039531707763672e+00
55	1.64999999999999999e-03	2.62525129318237305e+00	0.00000000000000000e+00	2.62525129318237305e+00	1.02800095081329346e+00
56	1.68000000000000007e-03	2.75059509277343750e+00	0.00000000000000000e+00	2.75059509277343750e+00	1.85285520553588867e+00
57	1.71000000000000015e-03	2.65040040016174316e+00	0.00000000000000000e+00	2.65040040016174316e+00	1.09005618095397949e+00
58	1.74000000000000023e-03	2.55321836471557617e+00	0.00000000000000000e+00	2.55321836471557617e+00	1.06144094467163086e+00
59	1.76999999999999987e-03	2.59924292564392090e+00	0.00000000000000000e+00	2.59924292564392090e+00	1.61870300769805908e+00
60	1.79999999999999995e-03	2.56225061416625977e+00	0.00000000000000000e+00	2.56225061416625977e+00	7.64414846897125244e-01
61	1.83000000000000003e-03	2.59379529953002930e+00	0.00000000000000000e+00	2.59379529953002930e+00	1.11357855796813965e+00
62	1.85999999999999989e-03	2.52215242385864258e+00	0.00000000000000000e+00	2.52215242385864258e+00	1.38303053379058838e+00
63	1.88999999999999997e-03	2.55455946922302246e+00	0.00000000000000000e+00	2.55455946922302246e+00	9.65258896350860596e-01
64	1.92000000000000005e-03	2.55483531951904297e+00	0.00000000000000000e+00	2.55483531951904297e+00	1.12845253944396973e+00
65	1.95000000000000013e-03	2.56535243988037109e+00	0.00000000000000000e+00	2.56535243988037109e+00	1.67839801311492920e+00
66	1.97999999999999999e-03	2.52239465713500977e+00	0.00000000000000000e+00	2.52239465713500977e+00	1.19139659404754639e+00
67	2.01000000000000007e-03	2.50412631034851074e+00	0.00000000000000000e+00	2.50412631034851074e+00	1.25780200958251953e+00
68	2.04000000000000015e-03	2.50361824035644531e+00	0.00000000000000000e+00	2.50361824035644531e+00	1.92068910598754883e+00
69	2.07000000000000023e-03	2.56793475151062012e+00	0.00000000000000000e+00	2.56793475151062012e+00	8.71692597866058350e-01
70	2.09999999999999987e-03	2.49034786224365234e+00	0.00000000000000000e+00	2.49034786224365234e+00	1.54746747016906738e+00
71	2.12999999999999995e-03	2.49594378471374512e+00	0.00000000000000000e+00	2.49594378471374512e+00	9.35835361480712891e-01
72	2.16000000000000003e-03	2.54692363739013672e+00	0.00000000000000000e+00	2.54692363739013672e+00	1.01829028129577637e+00
73	2.19000000000000011e-03	2.41952896118164062e+00	0.00000000000000000e+00	2.41952896118164062e+00	1.26059687137603760e+00
74	2.22000000000000018e-03	2.42164063453674316e+00	0.00000000000000000e+00	2.42164063453674316e+00	9.69368696212768555e-01
75	2.25000000000000026e-03	2.34462165832519531e+00	0.00000000000000000e+00	2.34462165832519531e+00	1.38028430938720703e+00
76	2.27999999999999991e-03	2.48643445968627930e+00	0.00000000000000000e+00	2.48643445968627930e+00	1.24078822135925293e+00
77	2.30999999999999999e-03	2.35836601257324219e+00	0.00000000000000000e+00	2.35836601257324219e+00	1.18089342117309570e+00
78	2.34000000000000007e-03	2.39491558074951172e+00	0.00000000000000000e+00	2.39491558074951172e+00	1.04463052749633789e+00
79	2.37000000000000014e-03	2.42898273468017578e+00	0.00000000000000000e+00	2.42898273468017578e+00	1.19159924983978271e+00
80	2.39999999999999979e-03	2.44596409797668457e+00	0.00000000000000000e+00	2.44596409797668457e+00	1.46662962436676025e+00
81	2.42999999999999987e-03	2.40429115295410156e+00	0.00000000000000000e+00	2.40429115295410156e+00	8.95932793617248535e-01
82	2.45999999999999995e-03	2.33380007743835449e+00	0.00000000000000000e+00	2.33380007743835449e+00	1.01632320880889893e+00
